State_Code,Account_Length_Months,Area_Code,Intl_Plan,VM_Plan,VM_Messages,Avg_Day_Minutes,Avg_Day_Calls,Avg_Day_Charge,Avg_Eve_Minutes,Avg_Eve_Calls,Avg_Eve_Charge,Avg_Night_Minutes,Avg_Night_Calls,Avg_Night_Charge,Avg_Intl_Minutes,Avg_Intl_Calls,Avg_Intl_Charge,Customer_Service_Calls,Churn
MI,36,510,0,0,0,193.08,88,35.56,228.34,109,26.68,200.51,126,10.03,12.54,6,3.27,1,0
TN,16,510,0,0,0,165.62,69,30.5,246.13,95,28.76,150.08,99,7.51,12.3,9,3.21,1,0
DC,99,415,0,0,0,216.22,70,39.83,115.62,110,13.51,236.66,87,11.84,13.11,2,3.42,3,0
WY,159,510,0,0,0,182.16,85,33.56,218.48,126,25.54,201.62,133,10.08,9.32,2,2.43,1,0
NJ,77,510,0,0,0,134.16,98,24.72,230.27,139,26.92,244.35,140,12.22,15.76,3,4.11,0,0
AZ,169,415,0,0,0,193.73,118,35.68,187.73,138,21.94,231.49,97,11.58,11.38,7,2.97,2,0
NM,138,415,0,0,0,170.27,102,31.37,291.13,113,34.02,139.95,89,7,12.3,7,3.21,2,0
TN,10,510,0,0,0,197.84,109,36.44,230.16,82,26.91,209.01,77,10.46,10,7,2.61,2,0
FL,98,415,0,0,0,0,0,0,171.02,138,20,169.22,93,8.46,7.82,1,2.04,4,1
NJ,131,408,1,0,0,132.22,88,24.35,127.3,100,14.88,149.77,100,7.5,15.76,3,4.11,3,1
RI,76,415,0,0,0,193.62,117,35.67,168.44,86,19.69,243.04,115,12.16,7.48,3,1.96,0,0
NH,122,408,0,1,33,189.08,109,34.82,265.95,111,31.09,166.68,123,8.34,15.52,3,4.06,1,1
MD,75,415,0,0,0,132.76,94,24.46,226.41,110,26.46,264.71,96,13.24,12.3,2,3.21,2,0
OR,170,510,1,0,0,280.97,72,51.75,262.52,129,30.69,136.1,128,6.81,9.66,3,2.52,3,0
AZ,155,415,1,1,26,228.86,128,42.16,149.16,130,17.43,148.56,94,7.43,12.76,3,3.33,1,0
VA,67,415,1,0,0,130.7,62,24.07,251.81,93,29.44,96.3,137,4.82,13.11,12,3.42,2,0
AK,130,510,0,0,0,150.38,76,27.7,263.6,119,30.81,209.82,128,10.49,13.11,10,3.42,5,0
AL,224,510,0,0,0,120.43,141,22.19,187.52,70,21.93,219.95,112,11,6.32,7,1.66,3,0
DE,57,415,0,0,0,92.86,98,17.1,207.77,134,24.28,234.43,98,11.73,11.62,2,3.03,0,0
VT,45,415,0,1,22,212.54,89,39.15,335.6,97,39.22,165.37,114,8.27,13.68,3,3.57,0,0
SD,119,415,0,0,0,118.05,102,21.74,164.05,85,19.17,243.04,108,12.16,11.27,6,2.94,2,0
MN,43,408,0,0,0,248.86,156,45.84,200.05,128,23.38,130.03,106,6.51,10.58,3,2.76,0,0
AK,40,510,0,0,0,183.46,122,33.79,151.51,130,17.71,256.2,122,12.82,12.08,3,3.16,4,1
AZ,3,408,0,0,0,150.27,105,27.68,268.63,114,31.4,289.82,92,14.5,7.02,3,1.83,4,0
TN,173,510,0,1,20,65.08,106,11.98,126.55,80,14.79,233.01,138,11.65,15.3,4,3.99,1,0
CA,95,415,0,0,0,198.27,104,36.52,301.42,101,35.23,106.53,119,5.32,9.43,9,2.46,1,0
MA,107,510,0,1,25,268.76,97,49.5,127.83,122,14.94,196.76,88,9.84,13.8,1,3.6,1,0
KY,76,408,0,0,0,225.41,132,41.52,185.37,124,21.67,223.9,100,11.2,11.27,3,2.94,0,0
AR,36,408,0,1,43,32.32,130,5.95,138.33,124,16.16,330.03,111,16.51,9.89,7,2.58,2,0
NJ,67,408,0,1,36,124.97,118,23.02,254.7,100,29.76,172.05,109,8.61,11.38,13,2.97,2,0
ID,119,415,0,0,0,106.81,103,19.68,157.41,72,18.4,193.11,111,9.66,11.5,4,3,3,0
CO,89,510,1,0,0,135.78,115,25.01,228.24,95,26.68,184,114,9.21,6.21,6,1.62,1,0
KS,83,510,0,1,26,244.76,124,45.09,251.49,103,29.4,135.29,87,6.76,12.42,8,3.24,1,0
ID,106,415,0,0,0,241.08,128,44.41,117.98,104,13.79,191.09,113,9.56,8.16,13,2.13,0,0
MO,30,510,0,0,0,156.76,81,28.87,257.92,119,30.15,199.59,142,9.98,8.16,4,2.13,3,0
GA,140,415,0,0,0,237.95,106,43.83,195.23,119,22.82,253.47,104,12.67,13.34,9,3.48,1,0
IA,103,510,0,0,0,206.38,66,38.01,242.81,56,28.38,233.01,101,11.65,8.97,3,2.34,2,0
NM,90,408,0,0,0,151.57,103,27.91,229.2,108,26.79,121.52,133,6.08,8.16,2,2.13,1,0
LA,190,415,0,0,0,183.14,108,33.73,271.63,120,31.75,199.59,98,9.98,10.24,6,2.67,1,0
NM,19,408,0,0,0,201.19,104,37.06,272.49,60,31.86,216.71,134,10.84,16.79,8,4.38,2,0
DC,61,408,0,0,0,288.76,110,53.19,193.3,139,22.59,233.52,112,11.68,19.9,4,5.19,1,1
VT,64,415,1,0,0,158.59,88,29.21,158.91,96,18.58,241.62,73,12.09,14.38,3,3.76,3,0
LA,132,510,0,0,0,176.43,85,32.49,179.59,95,21,88.61,95,4.43,7.13,11,1.86,1,0
MI,121,408,1,0,0,190.16,92,35.02,241.42,121,28.22,158.18,119,7.91,11.96,3,3.12,2,0
CA,19,408,0,0,0,158.7,105,29.24,204.13,107,23.86,147.95,72,7.39,10.7,2,2.79,0,0
MT,130,408,0,0,0,137.3,108,25.29,221.7,113,25.92,234.63,105,11.74,7.02,7,1.83,0,0
VT,111,415,0,0,0,276.65,103,50.95,218.7,137,25.56,173.47,89,8.68,14.14,6,3.69,3,0
MI,110,415,1,1,27,289.62,109,53.34,282.13,78,32.98,180.35,112,9.02,9.55,2,2.49,1,1
NY,92,510,0,1,29,168,117,30.95,201.98,110,23.61,258.13,125,12.91,9.2,4,2.4,3,0
OH,120,415,0,1,24,245.95,86,45.31,251.7,75,29.43,168.51,135,8.43,10.35,14,2.7,1,0
CO,117,415,0,0,0,182.49,145,33.62,258.67,113,30.24,207.39,112,10.38,17.82,4,4.66,0,0
WY,82,415,0,0,0,224,121,41.26,175.41,103,20.5,195.24,84,9.77,10.7,4,2.79,7,0
DE,159,408,1,0,0,277.95,56,51.2,334.53,134,39.11,185.32,87,9.27,10.12,7,2.64,1,1
MA,73,415,0,0,0,231.57,95,42.65,210.88,83,24.65,159.9,118,8,6.79,9,1.77,0,0
WV,166,408,0,0,0,164.43,101,30.29,129.65,111,15.16,200.51,133,10.03,11.27,6,2.94,0,0
VT,80,408,0,0,0,226.92,78,41.79,209.06,82,24.43,210.84,126,10.55,10.12,4,2.64,2,0
ME,184,510,1,0,0,231.14,111,42.58,171.02,89,20,140.96,145,7.05,5.75,11,1.5,2,0
VT,145,408,0,0,0,145.95,129,26.88,221.06,93,25.84,213.06,95,10.66,22.66,4,5.91,0,0
AR,88,510,0,0,0,79.24,91,14.6,172.94,87,20.22,242.63,80,12.13,9.43,3,2.46,4,1
OH,99,408,0,1,28,216.97,93,39.97,283.1,123,33.09,174.89,108,8.75,10.46,6,2.73,1,0
KS,139,415,0,1,20,232,107,42.73,251.92,140,29.44,164.86,140,8.25,17.02,13,4.44,0,0
ND,43,415,0,0,0,261.51,107,48.17,138.66,128,16.21,268.15,110,13.42,6.79,3,1.77,1,0
CT,36,510,1,1,42,212.76,94,39.19,273.13,129,31.93,140.05,133,7,23,7,6,0,1
KY,152,415,0,0,0,213.08,134,39.25,139.41,80,16.3,79.09,106,3.95,8.51,4,2.22,3,0
OR,78,415,1,1,20,273.3,108,50.34,233.16,111,27.26,108.66,98,5.44,12.88,3,3.36,0,0
MA,161,408,0,0,0,167.24,89,30.81,190.52,132,22.26,175.09,95,8.76,6.79,2,1.77,4,1
